score,rewards,episode_time,episode_length
0,0.0,0.02120600000489503,20
0,0.0,0.02595769998151809,20
0,0.0,0.020983700000215322,20
0,0.0,0.026124699972569942,20
0,0.0,0.030659199983347207,20
0,0.0,0.025049099989701062,20
0,0.0,0.01783839997369796,20
0,0.0,0.020989199983887374,20
0,0.0,0.02840660000219941,20
0,0.0,0.022079399961512536,20
0,0.0,0.02161090000299737,20
0,0.0,0.026663500000722706,20
0,0.0,0.021403799997642636,20
0,0.0,0.024687199969775975,20
0,0.0,0.01807859999826178,20
0,0.0,0.022916299989446998,20
0,0.0,0.028040100005455315,20
0,0.0,0.029182400030549616,20
0,0.0,0.020775999990291893,20
0,0.0,0.024206899979617447,20
0,0.0,0.020296000002417713,20
0,0.0,0.02323920000344515,20
0,0.0,0.01688140002079308,20
0,0.0,0.020600900053977966,20
0,-2.0,0.027285700023639947,20
0,0.0,0.020125099981669337,20
0,0.0,0.02085369999986142,20
0,0.0,0.021214599953964353,20
0,0.0,0.020661999995354563,20
0,0.0,0.022087999968789518,20
0,0.0,0.03219040000112727,20
0,0.0,0.02074670000001788,20
0,0.0,0.020965599978808314,20
0,0.0,0.04266919998917729,20
0,0.0,0.020841200021095574,20
0,0.0,0.032623999984934926,20
0,0.0,0.024535899981856346,20
0,-2.0,0.019298099970910698,20
0,0.0,0.021351000003051013,20
0,0.0,0.015048900037072599,4
0,0.0,0.019816099957097322,20
0,0.0,0.03374990000156686,20
0,0.0,0.02087440004106611,20
0,0.0,0.021547299984376878,20
0,0.0,0.020697099971584976,20
0,0.0,0.02094820002093911,20
0,0.0,0.017349100031424314,20
0,0.0,0.028582600003574044,10
0,0.0,0.021933100011665374,20
0,0.0,0.02271739998832345,20
0,0.0,0.019865799986291677,20
0,0.0,0.01772599999094382,20
0,-2.0,0.017453999957069755,20
0,0.0,0.021775699977297336,20
0,0.0,0.020089699944946915,20
0,0.0,0.023961499973665923,20
0,0.0,0.02016020001610741,20
0,0.0,0.028299700003117323,20
0,0.0,0.021948200010228902,20
0,0.0,0.019716299953870475,20
0,0.0,0.0201985000167042,20
0,-1.0,0.016043599986005574,20
0,0.0,0.025734900031238794,20
0,0.0,0.020715499995276332,20
0,0.0,0.03379090002272278,20
0,0.0,0.025304700015112758,20
0,0.0,0.0192119000130333,20
0,0.0,0.022013099980540574,20
0,0.0,0.021334099990781397,20
0,0.0,0.026384200027678162,20
0,0.0,0.03522489999886602,20
0,0.0,0.02451020001899451,20
0,0.0,0.020050300052389503,20
0,0.0,0.02350100001785904,20
0,0.0,0.02959639998152852,20
0,0.0,0.022083999996539205,1
0,0.0,0.0213334999862127,20
0,0.0,0.016539599979296327,15
0,0.0,0.03203080000821501,20
0,0.0,0.030266999965533614,20
0,0.0,0.025078399979975075,20
0,0.0,0.02252180001232773,20
0,0.0,0.020153300021775067,20
0,0.0,0.02090990002034232,20
0,0.0,0.017460200004279613,20
0,0.0,0.020181900006718934,20
0,0.0,0.021463699988089502,20
0,0.0,0.032603100000415,20
0,0.0,0.021765700017567724,20
0,0.0,0.01789640000788495,20
0,0.0,0.02664220001315698,20
0,0.0,0.02096299995901063,20
0,0.0,0.031117200036533177,20
0,0.0,0.03406480001285672,20
0,0.0,0.019589199975598603,20
0,0.0,0.028908800042700022,20
0,0.0,0.021914099983405322,20
0,0.0,0.019656200020108372,20
0,0.0,0.02272210002411157,20
0,0.0,0.021898600040003657,20
0,0.0,0.027647499984595925,20
0,0.0,0.019917999976314604,20
0,0.0,0.03475339995929971,20
0,0.0,0.01739839999936521,20
0,0.0,0.021189299994148314,20
0,0.0,0.020514000032562762,20
0,0.0,0.039461599953938276,20
0,-2.0,0.020386499993037432,20
0,0.0,0.022989100019913167,20
0,0.0,0.014954500016756356,18
0,0.0,0.02011270000366494,20
0,0.0,0.020916200010105968,20
0,0.0,0.020441200002096593,20
0,0.0,0.03102629998466,20
