Wall time,Step,Value
1736952788.8807878,1002724,25.0
1736952813.0926466,1002852,35.0
1736952835.2050781,1002969,29.0
1736952858.9319217,1003090,28.0
1736952878.8375435,1003195,27.0
1736952901.5414171,1003316,33.0
1736952922.943359,1003431,31.0
1736952944.1556556,1003544,30.0
1736952966.911184,1003667,32.0
1736952988.2393677,1003781,30.0
1736953010.1455028,1003899,31.0
1736953032.5882275,1004019,31.0
1736953055.570028,1004141,33.0
1736953075.676792,1004248,27.0
1736953101.7749736,1004383,33.0
1736953121.4993842,1004488,28.0
1736953144.7846925,1004614,34.0
1736953163.5933747,1004717,27.0
1736953186.7614589,1004844,33.0
1736953207.7681334,1004956,29.0
1736953232.0225737,1005086,35.0
1736953255.25617,1005210,34.0
1736953278.0039873,1005331,32.0
1736953299.2665548,1005446,30.0
1736953322.2672791,1005562,26.0
1736953344.0350094,1005681,32.0
1736953364.6449597,1005792,29.0
1736953387.5934913,1005917,33.0
1736953407.5081482,1006026,28.0
1736953429.7806592,1006146,32.0
1736953454.4701612,1006279,36.0
1736953479.7484946,1006409,29.0
1736953500.9717271,1006523,30.0
1736953522.7224336,1006642,31.0
1736953541.8169258,1006744,25.0
1736953564.6929028,1006866,31.0
1736953589.011232,1006992,29.0
1736953607.7956154,1007093,26.0
1736953629.5292,1007211,31.0
1736953649.9835508,1007322,30.0
1736953672.4465253,1007444,32.0
1736953692.7750452,1007553,29.0
1736953713.9590924,1007668,30.0
1736953736.7360191,1007790,32.0
1736953758.7762785,1007909,31.0
1736953781.4315014,1008025,26.0
1736953803.0585425,1008143,31.0
1736953822.8599486,1008251,29.0
1736953843.459848,1008357,30.0
1736953866.7634466,1008483,34.0
1736953889.4978917,1008606,31.0
1736953911.3829145,1008716,24.0
1736953933.3044653,1008834,31.0
1736953956.6337054,1008960,34.0
1736953978.6540868,1009078,32.0
1736954000.3037193,1009197,30.0
1736954021.6020968,1009311,30.0
1736954046.930788,1009449,36.0
1736954076.8521483,1009601,36.0
1736954102.5503397,1009731,30.0
1736954125.3133507,1009852,32.0
1736954149.8780253,1009977,30.0
1736954171.482288,1010093,31.0
1736954196.812174,1010224,31.0
1736954217.3640292,1010336,29.0
1736954240.0031235,1010458,33.0
1736954261.2706165,1010572,30.0
1736954286.3046088,1010703,34.0
1736954314.3450537,1010843,33.0
1736954338.0689034,1010962,27.0
1736954363.370002,1011098,36.0
1736954388.5693614,1011227,29.0
1736954412.6783535,1011351,28.0
1736954436.1217823,1011476,33.0
1736954457.0820482,1011589,29.0
1736954476.9251325,1011696,28.0
1736954501.431704,1011828,36.0
1736954522.5842855,1011940,30.0
1736954545.7921655,1012066,33.0
1736954569.6752632,1012195,34.0
1736954589.5095885,1012302,28.0
1736954610.5590563,1012416,30.0
1736954631.6540155,1012528,30.0
1736954653.7100704,1012648,31.0
1736954676.2979257,1012770,32.0
1736954697.3100922,1012884,30.0
1736954720.5878356,1013009,34.0
1736954743.324971,1013134,31.0
1736954768.9621031,1013266,31.0
1736954797.5961545,1013417,36.0
1736954824.7292438,1013557,33.0
1736954845.9212797,1013671,30.0
1736954874.2603917,1013823,39.0
1736954901.1533499,1013960,31.0
1736954921.516335,1014069,28.0
1736954944.6577475,1014193,33.0
1736954971.2904937,1014329,32.0
1736954992.1592083,1014442,29.0
1736955012.6066918,1014552,29.0
1736955036.5060372,1014682,33.0
1736955064.888313,1014826,35.0
1736955089.916358,1014960,34.0
1736955118.8685486,1015103,32.0
1736955142.2435205,1015219,26.0
1736955166.8720856,1015351,35.0
1736955194.1591442,1015489,31.0
1736955217.9069257,1015613,29.0
1736955240.432006,1015734,32.0
1736955262.0934753,1015852,31.0
1736955283.6395254,1015967,31.0
1736955304.1222143,1016078,29.0
1736955324.607274,1016188,30.0
1736955345.7470193,1016303,30.0
1736955370.286423,1016436,34.0
1736955395.2079031,1016566,30.0
1736955417.8804767,1016690,33.0
1736955439.3951252,1016801,31.0
1736955463.4652042,1016931,35.0
1736955490.714401,1017066,33.0
1736955513.2813315,1017188,31.0
1736955536.087452,1017308,33.0
1736955557.9389744,1017426,31.0
1736955578.055434,1017530,28.0
1736955592.657963,1017609,20.0
1736955616.8800886,1017736,31.0
1736955641.1132925,1017864,33.0
1737089928.7812796,1018014,32.0
1737090107.2597399,1018073,31.0
1737090152.307173,1018196,34.0
1737090193.3841553,1018348,32.0
1737090223.118509,1018481,31.0
1737090254.8831084,1018633,32.0
1737090288.1836963,1018794,35.0
1737090331.5247777,1018953,32.0
1737090359.4681497,1019056,32.0
1737090386.7907202,1019145,28.0
1737090415.386394,1019233,30.0
1737090446.375633,1019379,33.0
1737090471.4804435,1019509,28.0
1737090502.0910556,1019667,34.0
1737090539.4628034,1019849,33.0
1737090570.3409808,1020010,35.0
1737090599.0331433,1020164,33.0
1737090623.219062,1020289,28.0
1737090650.3889577,1020426,33.0
1737090683.367756,1020572,32.0
1737090709.3330991,1020703,32.0
1737090739.492032,1020854,36.0
1737090773.5137312,1021017,33.0
1737090803.4858286,1021167,35.0
1737090837.4603035,1021328,33.0
1737090867.384469,1021479,38.0
1737090900.319169,1021633,32.0
1737090925.9870346,1021762,32.0
1737090954.4383283,1021905,35.0
1737090978.986446,1022028,30.0
1737091011.4214268,1022187,39.0
1737091044.4886236,1022346,30.0
1737091072.2208276,1022478,27.0
1737091097.4593484,1022605,31.0
1737091124.379592,1022737,31.0
1737091157.877582,1022896,33.0
1737091184.4046452,1023029,33.0
1737091213.9066522,1023176,36.0
1737091242.1233795,1023317,33.0
1737091272.839618,1023465,30.0
1737091297.0102022,1023583,29.0
1737091322.4571304,1023713,31.0
1737091348.9368427,1023845,31.0
1737091378.7997656,1023988,29.0
1737091405.6558273,1024123,33.0
1737091433.030979,1024260,35.0
1737091468.3325489,1024430,33.0
1737091502.9489698,1024596,34.0
1737091538.3510447,1024765,35.0
1737091568.4034362,1024907,27.0
1737091595.9734607,1025043,33.0
1737091622.6952422,1025176,32.0
1737091647.8650875,1025303,31.0
1737091675.4885125,1025440,33.0
1737091705.9543424,1025583,29.0
1737091737.8341157,1025738,33.0
1737091764.147833,1025870,32.0
1737091791.3498743,1026005,33.0
1737091818.3970912,1026141,33.0
1737091844.8539672,1026269,31.0
1737091876.4950564,1026407,35.0
1737091900.854655,1026524,29.0
1737091928.7655203,1026659,34.0
1737091949.5565324,1026764,23.0
1737091979.5041397,1026904,34.0
1737092016.521827,1027073,33.0
1737092042.7338889,1027205,32.0
1737092071.5861716,1027349,35.0
1737092103.1967685,1027499,32.0
1737092128.2822406,1027624,31.0
1737092158.7990453,1027778,37.0
1737092191.351434,1027931,30.0
1737092220.4596183,1028072,35.0
1737092252.8892329,1028228,31.0
1737092286.3864033,1028387,34.0
1737092313.4587796,1028525,34.0
1737092340.8975446,1028662,34.0
1737092369.4777343,1028807,35.0
1737092396.1124785,1028939,33.0
1737092421.9388232,1029069,32.0
1737092448.3941345,1029202,32.0
1737092476.4925938,1029343,34.0
1737092512.8862762,1029508,34.0
1737092547.9248238,1029676,34.0
1737092581.0228024,1029832,32.0
1737092609.0717733,1029972,34.0
1737092643.5873337,1030132,34.0
1737092677.6976726,1030297,34.0
1737092706.0227149,1030438,35.0
1737092731.6154664,1030565,29.0
1737092762.715026,1030714,30.0
1737092798.0820074,1030882,36.0
1737092834.5802548,1031052,35.0
1737092865.8821619,1031199,30.0
1737092890.2431812,1031321,28.0
1737092916.5842793,1031453,32.0
1737092945.589342,1031596,35.0
1737092980.5878372,1031764,34.0
1737093018.7004645,1031945,37.0
1737093052.7589316,1032109,33.0
1737093079.19725,1032234,31.0
1737093105.960048,1032359,33.0
1737093138.209307,1032513,35.0
1737093165.6294768,1032649,35.0
1737093191.8476303,1032777,33.0
1737093220.646241,1032910,30.0
1737093249.0449104,1033047,30.0
1737093272.5977986,1033168,31.0
1737093297.6572492,1033297,33.0
1737093327.4497874,1033433,32.0
1737093351.0280094,1033553,30.0
1737093374.3231914,1033675,31.0
1737093404.9280424,1033786,33.0
1737093431.2498825,1033901,30.0
1737093458.3290236,1034018,32.0
1737093487.7747617,1034148,35.0
1737093514.970129,1034267,33.0
1737093540.0094557,1034378,29.0
1737093574.5727618,1034519,35.0
1737093601.262768,1034635,31.0
1737093631.3588223,1034768,36.0
1737093666.247138,1034908,33.0
1737093701.2513409,1035052,35.0
1737093725.4793298,1035158,28.0
1737093752.6661055,1035278,32.0
1737093785.2998416,1035416,32.0
1737093812.2483332,1035531,31.0
1737093843.558902,1035638,31.0
1737093877.530015,1035759,31.0
1737093906.1945891,1035856,29.0
1737093936.060471,1035967,33.0
1737093962.9928215,1036062,32.0
1737093987.5477276,1036157,31.0
1737094013.0293689,1036244,29.0
1737094047.1308165,1036379,35.0
1737094077.953416,1036513,33.0
1737094107.2908893,1036636,36.0
1737094132.8860688,1036749,31.0
1737094163.6365924,1036872,36.0
1737094189.5229013,1036979,30.0
1737094214.0919418,1037086,28.0
1737094240.2602293,1037200,32.0
1737094264.2493038,1037306,29.0
1737094289.9561615,1037417,31.0
1737094319.9051886,1037542,30.0
1737094345.8820653,1037657,32.0
1737094370.9220707,1037769,31.0
1737094395.8510382,1037876,31.0
1737094422.7277505,1037996,31.0
1737094454.6493096,1038130,32.0
1737094480.0154881,1038238,32.0
1737094507.0845714,1038358,32.0
1737094541.1590533,1038500,34.0
1737094576.7233746,1038650,35.0
1737094609.3129218,1038786,34.0
1737094636.4492698,1038907,32.0
1737094662.257821,1039015,24.0
1737094693.51703,1039147,33.0
1737094722.8621254,1039270,29.0
1737094746.8547492,1039375,28.0
1737094772.1660092,1039488,31.0
1737094799.242134,1039595,30.0
1737094825.25801,1039708,31.0
1737094859.0048003,1039840,33.0
1737094883.8015301,1039950,31.0
1737094907.8880649,1040057,29.0
1737094931.895641,1040174,32.0
1737094956.4359274,1040291,33.0
1737094984.5856535,1040412,36.0
1737095009.5943072,1040531,34.0
1737095035.8776891,1040643,31.0
1737095068.780527,1040779,34.0
1737095095.816412,1040900,33.0
1737095123.4885957,1041023,37.0
1737095155.2399158,1041149,29.0
1737095183.3678038,1041266,27.0
1737095209.6498709,1041384,33.0
1737095237.2896857,1041508,33.0
1737095265.6002946,1041626,27.0
1737095291.6702924,1041742,32.0
1737095319.9187346,1041844,30.0
1737095358.180084,1041958,34.0
1737095384.059882,1042055,30.0
1737095412.6961002,1042157,31.0
1737095447.8217847,1042275,32.0
1737095480.337982,1042386,29.0
1737095507.6042562,1042486,31.0
1737095531.857594,1042575,28.0
1737095554.8972013,1042664,28.0
1737095588.4201295,1042781,33.0
1737095624.3939335,1042910,34.0
1737095659.8274062,1043033,33.0
1737095683.8998291,1043124,27.0
1737095713.041344,1043232,33.0
1737095741.5178223,1043341,33.0
1737095770.8636258,1043447,33.0
1737095805.8272314,1043569,34.0
1737095828.5286045,1043653,24.0
1737095853.8895104,1043751,29.0
1737095881.4078512,1043852,32.0
1737095910.8614233,1043963,35.0
1737095945.2732494,1044083,32.0
1737095978.1549199,1044198,32.0
1737096004.174304,1044295,30.0
1737096028.9764445,1044390,28.0
1737096062.4187508,1044510,33.0
1737096088.067933,1044602,28.0
1737096122.4399173,1044723,34.0
1737096150.3125427,1044824,32.0
1737096178.2352972,1044926,32.0
1737096208.163496,1045031,34.0
1737096243.6577888,1045158,33.0
1737096277.4947035,1045280,32.0
1737096305.585849,1045383,33.0
1737096331.8015652,1045474,28.0
1737096365.6567366,1045594,33.0
1737096391.87654,1045689,29.0
1737096418.2395039,1045790,31.0
1737096445.6220665,1045887,30.0
1737096482.3974037,1046010,36.0
1737096507.955758,1046100,29.0
1737096539.0898485,1046213,36.0
1737096581.0956244,1046326,32.0
1737096608.9737527,1046420,28.0
1737096643.884812,1046538,30.0
1737096680.331388,1046659,32.0
1737096710.091188,1046768,34.0
1737096735.9157157,1046860,29.0
1737096765.6669726,1046965,33.0
1737096792.4188292,1047062,30.0
1737096822.6242886,1047170,33.0
1737096853.7897992,1047282,35.0
1737096879.3948746,1047377,28.0
1737096907.9517689,1047482,32.0
1737096946.4138966,1047601,31.0
1737096975.1304247,1047709,33.0
1737097001.8724003,1047808,30.0
1737097030.5533326,1047913,31.0
1737097060.6805692,1048023,34.0
1737097089.8501923,1048127,32.0
1737097121.015844,1048233,34.0
1737097146.232527,1048328,28.0
1737097178.2096055,1048447,37.0
1737097211.1646056,1048552,27.0
1737097239.260961,1048645,28.0
1737097266.9556305,1048743,31.0
1737097292.934909,1048838,29.0
1737097321.6156404,1048941,32.0
1737097352.4258647,1049057,35.0
1737097391.4142282,1049181,33.0
1737097416.6622193,1049280,29.0
1737097444.432463,1049397,32.0
1737097476.8274052,1049528,33.0
1737097514.2201247,1049650,33.0
1737097544.7743049,1049754,30.0
1737097580.0359066,1049872,29.0
1737097607.0230289,1049988,31.0
1737097640.2688224,1050125,34.0
1737097667.9454854,1050245,35.0
1737097699.1147177,1050379,37.0
1737097731.564367,1050507,28.0
1737097759.644177,1050626,26.0
1737097784.1680403,1050741,32.0
1737097808.2121892,1050851,31.0
1737097828.0927665,1050947,25.0
1737097853.8001618,1051066,33.0
1737097881.068622,1051189,28.0
1737097908.9426746,1051315,31.0
1737097938.7176414,1051424,33.0
1737097974.5645633,1051541,32.0
1737098001.2663326,1051633,30.0
1737098028.4287815,1051735,32.0
1737098054.3956125,1051834,31.0
1737098080.805155,1051933,32.0
1737098103.121419,1052023,26.0
1737098127.3442504,1052121,29.0
1737098152.0013287,1052219,29.0
1737098176.8631637,1052317,28.0
1737098213.2161448,1052442,35.0
1737098241.9218998,1052553,35.0
1737098267.1139932,1052655,31.0
1737098292.213812,1052751,30.0
1737098322.0357835,1052864,35.0
1737098359.3730643,1052987,33.0
1737098390.235824,1053099,30.0
1737098415.698112,1053194,30.0
1737098446.7580621,1053306,31.0
1737098476.6855865,1053421,36.0
1737098503.6497908,1053522,32.0
1737098530.536769,1053594,27.0
1737098557.3404624,1053661,28.0
1737098584.319784,1053745,30.0
1737098611.9249647,1053837,31.0
1737098640.5470932,1053947,35.0
1737098668.1887646,1054050,32.0
1737098699.9143252,1054142,33.0
1737098725.6108313,1054252,33.0
1737098748.427312,1054357,31.0
1737098768.780111,1054452,27.0
1737098792.42947,1054567,31.0
1737098815.4522493,1054677,30.0
1737098837.3994486,1054776,29.0
1737098867.821413,1054907,32.0
1737098890.637463,1055014,30.0
1737098915.6928928,1055133,33.0
1737098939.0965767,1055243,32.0
1737098962.862151,1055356,32.0
1737098984.9484367,1055460,29.0
1737099009.3584714,1055577,34.0
1737099041.4420536,1055718,35.0
1737099074.4309828,1055857,34.0
1737099103.1699102,1055983,31.0
1737099125.6512945,1056091,30.0
1737099150.306011,1056212,33.0
1737099178.8286755,1056339,31.0
1737099203.5509465,1056459,33.0
1737099228.8043797,1056578,34.0
1737099253.6382923,1056698,32.0
1737099287.0251195,1056821,31.0
1737099321.16198,1056944,33.0
1737099347.4912207,1057043,31.0
1737099373.8688023,1057140,31.0
1737099405.4263866,1057253,36.0
1737099444.4507618,1057384,33.0
1737099476.366608,1057495,30.0
1737099501.5816872,1057587,30.0
1737099526.2440104,1057678,29.0
1737099560.4365404,1057801,38.0
1737099593.3674903,1057941,33.0
1737099619.705759,1058047,32.0
1737099647.1891305,1058144,32.0
1737099670.9602098,1058232,27.0
1737099693.8178024,1058324,28.0
1737099721.5788798,1058435,33.0
1737099750.831801,1058545,27.0
1737099775.410885,1058660,32.0
1737099798.685792,1058771,32.0
1737099824.5132368,1058884,26.0
1737099849.7688086,1059004,33.0
1737099875.1575232,1059110,32.0
1737099910.6455197,1059228,36.0
1737099943.9152064,1059349,30.0
1737099975.8580585,1059473,31.0
1737100001.5641594,1059571,30.0
1737100023.747794,1059662,26.0
1737100048.8058932,1059762,31.0
1737100073.9479954,1059863,28.0
1737100100.127527,1059947,28.0
1737100130.1575747,1060049,33.0
1737100169.147553,1060166,33.0
1737100198.7752407,1060266,31.0
1737100237.838975,1060385,32.0
1737100267.619159,1060514,28.0
1737100305.6849787,1060690,39.0
1737100351.04457,1060872,33.0
1737100389.0925314,1061047,32.0
1737100417.9581625,1061182,31.0
