Wall time,Step,Value
1736785661.2364779,176883,22.0
1736785891.1671994,177982,32.0
1736786141.6048348,179388,22.0
1736786349.997689,180582,25.0
1736786388.1534572,180801,24.0
1736786425.8490498,181021,21.0
1736786445.162827,181133,23.0
1736786522.0977197,181579,23.0
1736786580.417921,181915,21.0
1736786764.1108463,182802,26.0
1736786841.6518486,183232,24.0
1736787152.8320336,184957,29.0
1736787286.9203577,185658,21.0
1736787388.5763257,186216,22.0
1736787409.955183,186336,25.0
1736787455.3526685,186584,29.0
1736787521.9337313,186950,29.0
1736787560.55383,187165,23.0
1736787608.1072493,187427,31.0
1736787636.613247,187579,32.0
1736787800.107386,188498,28.0
1736787873.0178454,188911,28.0
1736787993.4566138,189588,26.0
1736788408.711855,191969,25.0
1736788631.0664275,193155,25.0
1736788759.3981524,193801,30.0
1736788900.108415,194483,22.0
1736788980.8737485,194936,26.0
1736789004.7222693,195068,29.0
1736789271.9762335,196305,30.0
1736789309.3981602,196451,28.0
1736789637.5917194,198185,23.0
1736789837.9440744,199327,27.0
1736790041.450846,200402,24.0
1736790417.4002697,202468,28.0
1736790797.6214297,204654,25.0
1736790818.601611,204776,26.0
1736790857.937776,205003,25.0
1736791062.146274,206176,27.0
1736791147.6784754,206662,27.0
1736791545.1744528,208969,24.0
1736791770.4868972,210281,23.0
1736791932.5489771,211226,28.0
1736792054.8336835,211939,29.0
1736792078.555658,212078,29.0
1736792118.992299,212315,26.0
1736792154.6117144,212521,21.0
1736792262.9297636,213140,23.0
1736792780.055703,216135,25.0
1736792800.4761164,216253,25.0
1736793005.618567,217455,26.0
1736793050.06874,217716,26.0
1736793159.0880716,218353,28.0
1736793464.2514741,220092,27.0
1736793603.1633794,220880,24.0
1736793748.903879,221725,19.0
1736793793.1478486,221984,28.0
1736794129.7741632,223911,28.0
1736794210.1188846,224369,26.0
1736794255.0314822,224629,27.0
1736794543.6232996,226285,30.0
1736794802.6939085,227785,21.0
1736795051.2671964,229236,24.0
1736795073.0019238,229365,27.0
1736795094.1924443,229485,26.0
1736795265.9262831,230491,30.0
